player_id,family_name,given_name,wikipedia_title,reason
P-89658,Fatoumata,not applicable,Fatoumata_(footballer),wikipedia_page_not_found
P-89666,Tan,See Han,Tan_See_Han,no_image_on_page
P-89690,Sol,Yong-suk,Sol_Yong-suk,no_image_on_page
P-89708,Varón,Yineth,Yineth_Varón,no_image_on_page
P-89759,Fanta,not applicable,Fanta_(footballer),no_image_on_page
P-89785,Friedländer,Hans-Peter,Hans-Peter_Friedländer,no_image_on_page
P-89804,Luizão,not applicable,"Luizão_(footballer,_born_1975)",no_image_on_page
P-89817,Hansen,Hege,Hege_Hansen,no_image_on_page
P-89840,Yano,Kisho,Kisho_Yano,no_image_on_page
P-89851,Hansen,Christina,Christina_Hansen_(footballer),no_image_on_page
P-89866,Teinitzer,Alfred,Alfred_Teinitzer,no_image_on_page
P-89903,Mbilitam,Nkechi,Nkechi_Mbilitam,no_image_on_page
P-89922,Jelassi,Riadh,Riadh_Jelassi,no_image_on_page
P-89928,Michaelsen,Jan,Jan_Michaelsen,no_image_on_page
P-89933,McIlroy,Jimmy,Jimmy_McIlroy,no_image_on_page
P-89966,Claessens,Jean,Jean_Claessens,no_image_on_page
P-89990,Vincenzi,Guido,Guido_Vincenzi,no_image_on_page
P-90001,Jakob,Hans,Hans_Jakob_(footballer),no_image_on_page
P-90061,Zhao,Junzhe,Zhao_Junzhe,no_image_on_page
P-90074,Bozicevic,Anika,Anika_Bozicevic,no_image_on_page
P-90085,Houf,Denis,Denis_Houf,no_image_on_page
P-90097,Ismaïl,Khalid,Khalid_Ismaïl,no_image_on_page
P-90120,Ben Younes,Imed,Imed_Ben_Younes,no_image_on_page
P-90224,Carmelo,not applicable,Carmelo_Cedrún,no_image_on_page
P-90240,Viguier,Sabrina,Sabrina_Viguier,no_image_on_page
P-90303,Gu,Sang-bum,Gu_Sang-bum,no_image_on_page
P-90336,Rupf,Eugen,Eugen_Rupf,no_image_on_page
P-90357,Coyne,Tommy,Tommy_Coyne,no_image_on_page
P-90391,Williams,Harry,Harry_Williams_(Australian_soccer),no_image_on_page
P-90417,Bonnel,Joseph,Joseph_Bonnel,no_image_on_page
P-90473,Colding,Søren,Søren_Colding,no_image_on_page
P-90482,Medwin,Terry,Terry_Medwin,no_image_on_page
P-90496,Borges,Carlos,Carlos_Borges,no_image_on_page
P-90520,Quartey,Stella,Stella_Quartey,no_image_on_page
P-90526,van der Heyden,Stéphane,Stéphane_van_der_Heyden,no_image_on_page
P-90575,Castillo,Ramiro,Ramiro_Castillo,no_image_on_page
P-90611,Ayra,Juan,Juan_Ayra,no_image_on_page
P-90625,Oleniak,Juan Carlos,Juan_Carlos_Oleniak,no_image_on_page
P-90628,Al-Houti,Saad,Saad_Al-Houti,no_image_on_page
P-90655,Molnár,Pavol,Pavol_Molnár,no_image_on_page
P-90709,Pohjanen,Anna,Anna_Pohjanen,no_image_on_page
P-90719,Al-Ghanim,Nassir,Nassir_Al-Ghanim,no_image_on_page
P-90721,Chanov,Viktor,Viktor_Chanov,no_image_on_page
P-90725,Tukar,Redha,Redha_Tukar,no_image_on_page
P-90753,Sackey,Patience,Patience_Sackey,no_image_on_page
P-90775,Calderón de la Barca,Carlos,Carlos_Calderón_de_la_Barca,no_image_on_page
P-90846,Ghesghayan,Ali Reza,Ali_Reza_Ghesghayan,no_image_on_page
P-90856,Nku,Cecilia,Cecilia_Nku,no_image_on_page
P-90857,Ayoví,Marlon,Marlon_Ayoví,no_image_on_page
P-90871,Bolatlı,Rıdvan,Rıdvan_Bolatlı,no_image_on_page
P-90911,Andersson,Björn,Björn_Andersson,no_image_on_page
P-90918,Salmaso,Raffaella,Raffaella_Salmaso,no_image_on_page
P-90924,Brandebusemeyer,Nicole,Nicole_Brandebusemeyer,no_image_on_page
P-90988,De Luca,Pasquale,Pasquale_De_Luca,no_image_on_page
P-91040,Bannikov,Viktor,Viktor_Bannikov,no_image_on_page
P-91065,Støre,Heidi,Heidi_Støre,no_image_on_page
P-91091,Chen,Shu-chin,Chen_Shu-chin,no_image_on_page
P-91151,Robertson,Archie,Archie_Robertson_(footballer),no_image_on_page
P-91166,Nyc,Erwin,Erwin_Nyc,no_image_on_page
P-91180,Jakobs,Ditmar,Ditmar_Jakobs,no_image_on_page
P-91257,Pereira,José,José_Pereira_(footballer),no_image_on_page
P-91259,Vágó,József,József_Vágó,no_image_on_page
P-91286,Cilaurren,Leonardo,Leonardo_Cilaurren,no_image_on_page
P-91291,Sobhi,Ramadan,Ramadan_Sobhi,no_image_on_page
P-91295,Deşu,Adalbert,Adalbert_Deşu,no_image_on_page
P-91386,Lachos,László,László_Lachos,no_image_on_page
P-91402,Mbororo,Thècle,Thècle_Mbororo,no_image_on_page
P-91403,Singfield,Tania,Tania_Singfield,no_image_on_page
